"","zip3","mean_flood_value","median_flood_value","max_flood_value","inundation_exposure","total_population","year","weighted_percent_wells"
"94","280",0.573244242122971,0.596684231241331,1,TRUE,734311,2019,13.3739745421399
"95","280",0.573244242122971,0.596684231241331,1,TRUE,749370,2020,13.3739745421399
"96","280",0.573244242122971,0.596684231241331,1,TRUE,767187,2021,13.3739745421399
"97","280",0.573244242122971,0.596684231241331,1,TRUE,780171,2022,13.3739745421399
"98","280",0.573244242122971,0.596684231241331,1,TRUE,791047,2023,13.3739745421399
"99","280",0.573244242122971,0.596684231241331,1,TRUE,791047,2024,13.3739745421399
"100","281",0.539709913627795,0.5245416100466,0.939685515923038,TRUE,611383,2016,21.2261990244386
"101","281",0.539709913627795,0.5245416100466,0.939685515923038,TRUE,617649,2017,21.2261990244386
"102","281",0.539709913627795,0.5245416100466,0.939685515923038,TRUE,624444,2018,21.2261990244386
"103","281",0.539709913627795,0.5245416100466,0.939685515923038,TRUE,631058,2019,21.2261990244386
"104","281",0.539709913627795,0.5245416100466,0.939685515923038,TRUE,637304,2020,21.2261990244386
"105","281",0.539709913627795,0.5245416100466,0.939685515923038,TRUE,648077,2021,21.2261990244386
"106","281",0.539709913627795,0.5245416100466,0.939685515923038,TRUE,656664,2022,21.2261990244386
"107","281",0.539709913627795,0.5245416100466,0.939685515923038,TRUE,668075,2023,21.2261990244386
"108","281",0.539709913627795,0.5245416100466,0.939685515923038,TRUE,668075,2024,21.2261990244386
"109","282",0.43408944393078,0.268526360577208,0.934568403902111,FALSE,869225,2016,0.71755723585936
"110","282",0.43408944393078,0.268526360577208,0.934568403902111,FALSE,888140,2017,0.71755723585936
"111","282",0.43408944393078,0.268526360577208,0.934568403902111,FALSE,906423,2018,0.71755723585936
"112","282",0.43408944393078,0.268526360577208,0.934568403902111,FALSE,923655,2019,0.71755723585936
"113","282",0.43408944393078,0.268526360577208,0.934568403902111,FALSE,941263,2020,0.71755723585936
"114","282",0.43408944393078,0.268526360577208,0.934568403902111,FALSE,942437,2021,0.71755723585936
"115","282",0.43408944393078,0.268526360577208,0.934568403902111,FALSE,953893,2022,0.71755723585936
"116","282",0.43408944393078,0.268526360577208,0.934568403902111,FALSE,967202,2023,0.71755723585936
"117","282",0.43408944393078,0.268526360577208,0.934568403902111,FALSE,967202,2024,0.71755723585936
"118","283",0.426208445270365,0.286931658824582,0.992692910169053,FALSE,853380,2016,9.57504587511083
"119","283",0.426208445270365,0.286931658824582,0.992692910169053,FALSE,859998,2017,9.57504587511083
"120","283",0.426208445270365,0.286931658824582,0.992692910169053,FALSE,861551,2018,9.57504587511083
"121","283",0.426208445270365,0.286931658824582,0.992692910169053,FALSE,862492,2019,9.57504587511083
